avg_cell_voltage;charging_current;max_cell_voltage;min_cell_voltage;max_cell_temp;min_cell_temp;soc;timestamp;;
3.9;-200.8;3.9;3.9;32;29;48.5;55.16;;
3.9;-200.8;3.9;3.9;32;29;48.5;55.3;;
3.9;-200.8;3.9;3.9;32;29;48.5;55.44;;
3.9;-200.8;3.9;3.9;32;29;48.5;55.58;;
3.9;-199.7;3.9;3.9;32;29;48.5;55.72;;
3.9;-199.7;3.9;3.9;32;29;48.5;55.86;;
3.9;-199.7;3.9;3.9;32;29;48.5;56;;
3.9;-199.7;3.9;3.9;32;29;48.5;56.14;;
3.9;-200.7;3.9;3.9;32;29;48.5;56.28;;
3.9;-200.7;3.9;3.9;32;29;48.5;56.42;;
3.9;-200.7;3.9;3.9;32;29;48.5;56.56;;
3.9;-200.7;3.9;3.9;32;29;48.5;56.7;;
3.9;-200.6;3.9;3.9;32;29;48.5;56.84;;
3.9;-200.6;3.9;3.9;32;29;48.5;56.98;;
3.9;-200.6;3.9;3.9;32;29;48.5;57.12;;
3.9;-200.6;3.9;3.9;32;29;48.5;57.26;;
3.9;-200.5;3.9;3.9;32;29;48.5;57.4;;
3.9;-200.5;3.9;3.9;32;29;48.5;57.54;;
3.9;-200.5;3.9;3.9;32;29;48.5;57.68;;
3.9;-200.5;3.9;3.9;32;29;48.5;57.82;;
3.9;-200.7;3.9;3.9;32;29;48.5;57.96;;
3.9;-200.7;3.9;3.9;32;29;48.5;58.1;;
3.9;-200.7;3.9;3.9;32;29;48.5;58.24;;
3.9;-200.7;3.9;3.9;32;29;48.5;58.38;;
3.9;-200.8;3.9;3.9;32;29;49;58.52;;
3.9;-200.8;3.9;3.9;32;29;49;58.66;;
3.9;-200.8;3.9;3.9;32;29;49;58.8;;
3.9;-200.8;3.9;3.9;32;29;49;58.94;;
3.9;-200.7;3.9;3.9;32;29;49;59.08;;
3.9;-200.7;3.9;3.9;32;29;49;59.22;;
3.9;-200.7;3.9;3.9;32;29;49;59.36;;
3.9;-200.7;3.9;3.9;32;29;49;59.5;;
3.9;-200.4;3.9;3.9;32;29;49;59.64;;
3.9;-200.4;3.9;3.9;32;29;49;59.78;;
3.9;-200.4;3.9;3.9;32;29;49;59.92;;
3.9;-200.4;3.9;3.9;32;29;49;60.06;;
3.9;-199.8;3.9;3.9;32;29;49;60.2;;
3.9;-199.8;3.9;3.9;32;29;49;60.34;;
3.9;-199.8;3.9;3.9;32;29;49;60.48;;
3.9;-199.8;3.9;3.9;32;29;49;60.62;;
3.9;-199.6;3.9;3.9;32;29;49;60.76;;
3.9;-199.6;3.9;3.9;32;29;49;60.9;;
3.9;-199.6;3.9;3.9;32;29;49;61.04;;
3.9;-199.6;3.9;3.9;32;29;49;61.18;;
3.9;-200.8;3.9;3.9;32;29;49;61.32;;
3.9;-200.8;3.9;3.9;32;29;49;61.46;;
3.9;-200.8;3.9;3.9;32;29;49;61.6;;
3.9;-200.8;3.9;3.9;32;29;49;61.74;;
3.9;-200.6;3.9;3.9;32;29;49;61.88;;
3.9;-200.6;3.9;3.9;32;29;49;62.02;;
3.9;-200.6;3.9;3.9;32;29;49;62.16;;
3.9;-200.6;3.9;3.9;32;29;49;62.3;;
3.9;-200.5;3.9;3.9;32;29;49;62.44;;
3.9;-200.5;3.9;3.9;32;29;49;62.58;;
3.9;-200.5;3.9;3.9;32;29;49;62.72;;
3.9;-200.5;3.9;3.9;32;29;49;62.86;;
3.9;-200.9;3.9;3.9;32;29;49;63;;
3.9;-200.9;3.9;3.9;32;29;49;63.14;;
3.9;-200.9;3.9;3.9;32;29;49;63.28;;
3.9;-200.9;3.9;3.9;32;29;49;63.42;;
3.9;-199.7;3.9;3.9;32;29;49;63.56;;
